id,angle
251,101
252,321
253,9
254,118
255,27
256,85
257,214
258,70
259,40
260,49
261,255
262,266
263,259
264,353
265,276
266,83
267,155
268,5
269,349
270,272
271,30
272,223
273,218
274,276
275,97
276,232
277,210
278,89
279,93
280,324
281,199
282,182
283,85
284,196
285,43
286,213
287,351
288,125
289,318
290,335
291,276
292,35
293,248
294,155
295,219
296,101
297,221
298,252
299,216
300,317
301,358
302,329
303,282
304,167
305,103
306,148
307,301
308,277
309,353
310,303
311,191
312,114
313,353
314,337
315,35
316,328
317,334
318,33
319,149
320,177
321,194
322,312
323,253
324,152
325,76
326,187
327,195
328,350
329,98
330,18
331,141
332,33
333,136
334,190
335,86
336,46
337,113
338,37
339,88
340,192
341,132
342,266
343,139
344,177
345,120
346,39
347,138
348,123
349,91
350,49
351,356
352,152
353,38
354,104
355,254
356,203
357,281
358,100
359,51
360,89
361,43
362,7
363,138
364,125
365,111
366,316
367,206
368,118
369,135
370,166
371,175
372,317
373,142
374,336
375,225
376,94
377,312
378,94
379,255
380,16
381,160
382,15
383,357
384,41
385,106
386,47
387,2
388,33
389,137
390,72
391,75
392,349
393,249
394,278
395,203
396,315
397,179
398,168
399,181
400,174
401,212
402,17
403,269
404,275
405,234
406,266
407,54
408,248
409,325
410,259
411,128
412,231
413,278
414,208
415,292
416,155
417,220
418,334
419,233
420,67
421,131
422,220
423,94
424,94
425,32
426,141
427,302
428,147
429,356
430,288
431,125
432,121
433,102
434,257
435,197
436,227
437,183
438,6
439,176
440,9
441,304
442,344
443,319
444,89
445,133
446,131
447,104
448,93
449,341
450,211
451,220
452,180
453,328
454,316
455,93
456,303
457,290
458,332
459,160
460,289
461,27
462,276
463,24
464,222
465,57
466,203
467,260
468,204
469,281
470,325
471,239
472,277
473,215
474,132
475,178
476,18
477,124
478,125
479,321
480,336
481,298
482,292
483,299
484,330
485,188
486,276
487,158
488,215
489,241
490,186
491,308
492,315
493,121
494,127
495,286
496,206
497,234
498,288
499,10
500,95
501,132
502,38
503,316
504,219
505,352
506,218
507,328
508,191
509,333
510,35
511,224
512,229
513,202
514,19
515,138
516,223
517,164
518,33
519,232
520,316
521,39
522,210
523,207
524,110
525,114
526,140
527,297
528,221
529,348
530,208
531,286
532,48
533,280
534,33
535,65
536,295
537,302
538,112
539,132
540,285
541,117
542,133
543,300
544,272
545,284
546,311
547,122
548,353
549,181
550,281
551,307
552,11
553,47
554,94
555,291
556,5
557,75
558,180
559,153
560,298
561,119
562,307
563,311
564,322
565,56
566,309
567,255
568,23
569,35
570,21
571,34
572,286
573,211
574,173
575,92
576,18
577,85
578,255
579,4
580,184
581,32
582,249
583,263
584,299
585,152
586,70
587,21
588,303
589,2
590,259
591,123
592,81
593,36
594,57
595,126
596,31
597,323
598,196
599,87
600,139
601,326
602,78
603,228
604,119
605,270
606,285
607,268
608,46
609,124
610,335
611,108
612,301
613,8
614,347
615,303
616,87
617,158
618,356
619,123
620,269
621,116
622,236
623,328
624,261
625,190
626,66
627,86
628,67
629,235
630,131
631,121
632,244
633,283
634,354
635,224
636,124
637,173
638,55
639,98
640,39
641,272
642,114
643,313
644,159
645,231
646,358
647,266
648,138
649,285
650,307
651,234
652,309
653,122
654,98
655,221
656,127
657,138
658,5
659,348
660,325
661,226
662,303
663,351
664,234
665,170
666,76
667,146
668,41
669,301
670,220
671,203
672,179
673,257
674,278
675,139
676,164
677,200
678,156
679,99
680,278
681,177
682,155
683,179
684,359
685,208
686,349
687,134
688,294
689,46
690,268
691,228
692,283
693,227
694,191
695,270
696,356
697,31
698,292
699,16
700,285
701,128
702,267
703,3
704,351
705,236
706,316
707,145
708,224
709,216
710,108
711,151
712,266
713,201
714,336
715,301
716,152
717,321
718,139
719,224
720,76
721,164
722,30
723,33
724,96
725,268
726,333
727,35
728,217
729,224
730,345
731,126
732,223
733,45
734,63
735,267
736,205
737,252
